N,P,K,temperature,humidity,ph,rainfall,label
15.03,64.25,18.62,24.83,66.28,6.20,46.84,lentil
26.80,65.15,21.50,23.49,67.61,6.45,42.25,lentil
30.12,64.56,15.13,24.76,63.85,6.03,46.73,lentil
32.68,65.15,22.72,23.00,69.74,6.01,44.44,lentil
20.92,74.20,21.10,24.67,63.43,5.64,46.55,lentil
32.65,71.92,23.27,24.98,65.30,6.42,40.28,lentil
21.09,66.06,16.04,23.83,62.13,5.58,45.09,lentil
34.80,66.61,18.47,22.27,63.66,6.32,48.43,lentil
29.05,71.38,22.41,24.44,61.72,5.65,43.46,lentil
31.78,62.25,23.87,23.65,66.63,5.83,48.12,lentil
23.88,63.17,20.61,24.25,67.39,5.91,44.84,lentil
24.30,61.54,15.61,23.65,65.98,5.67,49.01,lentil
24.09,68.02,17.89,23.18,62.38,6.27,45.75,lentil
29.16,61.93,21.89,23.69,60.52,5.51,44.29,lentil
27.94,67.71,18.30,22.84,60.72,5.88,49.21,lentil
30.18,72.01,16.70,22.52,68.03,5.66,48.32,lentil
23.10,73.75,20.98,22.04,62.05,6.38,44.36,lentil
23.11,66.39,16.30,22.48,68.99,6.14,42.29,lentil
21.17,61.46,16.49,24.33,62.46,5.61,42.44,lentil
29.89,61.84,18.78,24.74,62.47,5.84,42.10,lentil
27.32,67.23,21.60,22.13,63.75,6.48,45.43,lentil
30.29,68.01,18.37,22.99,68.58,5.99,43.73,lentil
18.46,67.48,18.95,23.46,60.21,5.56,40.63,lentil
18.87,69.30,19.31,23.71,62.18,6.05,44.06,lentil
30.99,61.29,22.60,22.38,60.64,6.08,48.48,lentil
27.60,69.88,24.94,23.98,64.81,5.99,41.01,lentil
31.26,74.91,16.40,22.07,67.83,6.32,41.34,lentil
19.60,69.14,20.77,23.67,68.32,5.51,48.40,lentil
21.86,63.05,17.39,23.03,61.12,5.80,48.87,lentil
29.20,66.67,16.84,23.16,61.44,6.30,40.28,lentil
22.55,68.69,24.88,22.23,68.01,5.75,42.76,lentil
25.85,64.61,23.38,24.48,66.23,6.32,44.99,lentil
16.71,65.82,17.83,23.71,67.98,6.16,44.95,lentil
19.31,60.24,15.17,24.17,65.25,6.46,44.96,lentil
15.54,68.85,24.91,23.57,60.01,6.11,44.94,lentil
30.28,65.37,22.54,22.14,67.88,5.56,42.95,lentil
26.23,60.33,20.40,24.55,68.18,6.04,42.81,lentil
27.27,65.65,23.42,24.13,66.52,5.65,41.43,lentil
16.63,69.96,21.86,22.27,65.41,5.72,40.35,lentil
25.65,67.32,16.53,22.25,65.05,5.61,40.35,lentil
15.78,73.93,23.66,24.05,62.62,6.46,40.08,lentil
18.36,67.78,18.00,22.13,67.18,5.96,46.22,lentil
23.17,73.94,23.99,22.83,64.84,6.37,43.35,lentil
34.04,72.59,16.96,24.20,64.41,5.84,49.07,lentil
29.22,65.07,23.73,24.80,66.96,6.15,44.08,lentil
16.79,62.07,23.43,22.97,68.42,6.34,43.73,lentil
32.15,73.41,20.68,23.81,68.94,5.50,40.27,lentil
25.11,69.65,21.03,22.51,64.73,6.04,46.95,lentil
22.12,71.61,24.38,24.70,64.93,5.72,48.52,lentil
27.93,61.96,17.28,22.91,67.60,5.50,42.76,lentil
20.43,70.54,24.12,23.86,68.18,6.15,43.37,lentil
23.64,70.95,21.71,22.53,62.59,6.42,47.64,lentil
21.19,74.46,20.54,22.41,60.45,6.33,49.51,lentil
21.00,65.60,22.00,24.38,64.77,6.28,48.46,lentil
19.38,72.06,24.85,23.40,69.16,6.25,43.35,lentil
26.18,62.31,24.64,22.47,64.44,6.38,40.93,lentil
31.07,74.46,19.30,22.85,63.19,6.22,41.19,lentil
26.23,67.68,19.84,22.89,63.32,5.63,46.69,lentil
33.91,74.35,15.12,24.35,63.93,5.69,49.24,lentil
33.43,10.54,42.78,24.99,94.01,5.70,106.08,pomegranate
27.10,14.89,37.61,24.02,94.00,6.05,101.12,pomegranate
18.75,22.18,37.80,24.36,93.17,6.34,103.69,pomegranate
26.81,11.75,44.50,23.62,93.25,5.64,104.19,pomegranate
28.67,21.82,38.76,23.88,94.05,5.87,102.20,pomegranate
27.03,25.92,35.35,24.30,94.22,5.71,105.74,pomegranate
26.32,13.18,38.18,24.16,93.20,5.94,101.90,pomegranate
27.49,23.76,38.53,23.10,92.88,6.21,106.30,pomegranate
17.60,21.60,40.52,22.21,94.17,6.30,103.29,pomegranate
18.99,25.72,44.49,22.83,94.06,6.24,108.55,pomegranate
28.95,18.06,36.24,23.80,93.21,5.66,108.40,pomegranate
27.96,29.74,40.69,23.87,93.44,6.46,100.93,pomegranate
23.66,25.12,37.00,24.57,93.75,5.99,108.75,pomegranate
30.41,29.01,35.32,22.91,94.13,5.74,100.06,pomegranate
16.04,20.36,37.78,23.93,94.45,5.87,105.55,pomegranate
22.63,17.49,40.68,24.47,91.04,5.52,109.42,pomegranate
27.05,27.99,41.56,22.21,92.58,6.10,104.80,pomegranate
28.12,15.04,36.57,22.68,91.04,6.11,102.53,pomegranate
16.68,18.28,38.88,24.23,92.91,6.18,102.96,pomegranate
31.45,14.72,37.33,24.01,93.25,5.80,101.67,pomegranate
29.76,18.04,37.49,22.14,91.91,5.71,109.45,pomegranate
20.76,23.89,37.51,22.86,92.84,6.13,109.23,pomegranate
31.62,15.48,35.34,22.90,90.51,6.25,102.88,pomegranate
29.79,14.45,42.57,23.43,93.15,6.00,112.39,pomegranate
23.73,12.86,40.76,23.97,93.11,6.49,112.55,pomegranate
23.26,12.03,37.94,24.35,91.24,6.21,100.97,pomegranate
34.88,25.74,39.77,24.45,91.26,6.12,107.52,pomegranate
28.67,23.84,41.40,24.43,92.72,5.76,105.34,pomegranate
29.20,23.27,39.95,22.91,92.88,6.13,107.09,pomegranate
32.85,10.82,37.93,22.95,90.21,6.02,108.22,pomegranate
15.39,15.98,37.99,24.33,90.73,5.64,110.08,pomegranate
28.30,23.31,39.97,23.39,91.86,5.85,106.32,pomegranate
32.44,21.81,40.77,23.15,91.68,5.94,114.40,pomegranate
30.82,22.42,35.92,24.40,92.57,5.64,102.07,pomegranate
23.36,27.38,42.92,24.44,91.79,6.01,114.71,pomegranate
20.08,14.71,38.37,23.46,90.46,6.27,110.93,pomegranate
21.41,12.08,35.17,22.91,90.55,6.21,104.65,pomegranate
30.27,25.39,40.45,23.25,91.18,5.55,107.82,pomegranate
16.67,10.80,35.93,23.65,90.18,5.71,111.55,pomegranate
15.07,14.18,36.54,24.24,91.06,6.44,111.00,pomegranate
18.85,11.43,40.92,23.37,92.02,5.91,113.25,pomegranate
20.52,11.01,36.78,24.93,94.88,6.31,105.47,pomegranate
26.03,11.16,42.67,23.56,92.55,5.92,101.04,pomegranate
34.09,29.42,38.89,24.96,91.21,5.73,101.31,pomegranate
34.87,18.38,36.20,24.11,94.45,6.38,112.61,pomegranate
26.77,22.18,39.52,22.38,92.76,6.22,110.79,pomegranate
28.74,27.84,39.17,23.59,94.68,6.13,101.76,pomegranate
34.09,19.50,35.90,24.03,91.37,6.01,112.54,pomegranate
24.57,26.27,41.47,24.93,92.77,6.04,114.50,pomegranate
28.84,25.67,36.92,23.58,91.33,5.99,109.22,pomegranate
23.74,20.83,39.04,24.89,91.57,5.91,112.61,pomegranate
29.91,12.53,41.07,23.31,93.50,5.63,107.75,pomegranate
20.75,23.60,43.45,23.71,90.39,5.91,111.21,pomegranate
21.10,15.56,40.25,22.22,93.96,5.90,101.01,pomegranate
20.51,18.75,42.18,22.87,93.89,6.26,109.19,pomegranate
19.19,26.09,40.05,24.18,94.17,6.44,112.20,pomegranate
19.91,10.20,43.89,23.17,93.52,6.32,105.81,pomegranate
28.89,10.01,42.80,23.20,92.58,6.01,101.30,pomegranate
24.13,27.23,39.08,22.01,90.70,5.57,103.00,pomegranate
16.79,22.52,44.90,23.86,91.83,6.39,109.10,pomegranate
34.86,14.95,40.19,23.25,92.55,5.82,108.34,pomegranate
17.86,20.16,43.45,23.82,92.90,6.23,103.80,pomegranate
31.25,27.22,41.59,22.85,90.72,6.35,104.88,pomegranate
29.76,16.55,37.32,23.23,93.09,5.61,104.28,pomegranate
26.22,20.13,40.03,22.99,90.02,5.51,114.34,pomegranate
22.78,14.25,40.79,23.42,94.37,6.29,108.26,pomegranate
28.87,11.46,40.14,23.14,91.24,5.95,103.15,pomegranate
21.34,13.59,41.55,24.50,94.40,5.88,100.45,pomegranate
29.15,18.98,41.95,23.63,90.84,5.70,111.98,pomegranate
15.07,11.18,42.40,23.81,91.00,5.87,109.84,pomegranate
22.98,14.94,39.15,23.39,94.24,5.85,106.79,pomegranate
28.78,15.75,38.02,23.81,90.45,5.95,108.97,pomegranate
32.04,23.67,40.94,24.81,90.72,5.82,104.33,pomegranate
22.66,21.15,41.55,23.78,91.80,5.87,107.75,pomegranate
27.85,28.92,43.31,22.33,94.16,6.06,112.52,pomegranate
25.76,20.95,37.44,23.56,92.47,6.29,101.37,pomegranate
17.65,21.77,42.52,23.08,90.64,6.33,104.79,pomegranate
26.16,28.49,42.54,24.98,91.54,6.33,100.89,pomegranate
24.26,17.41,44.10,24.17,93.19,5.82,105.61,pomegranate
24.94,13.85,41.15,24.50,94.52,6.32,104.34,pomegranate
18.09,17.30,37.45,22.09,92.23,5.95,111.94,pomegranate
20.81,18.83,43.00,22.42,90.78,5.70,100.24,pomegranate
30.72,21.64,41.80,23.33,93.49,6.43,109.11,pomegranate
25.33,18.68,41.90,22.91,90.30,6.17,110.69,pomegranate
18.44,10.82,38.96,22.99,94.42,6.38,112.65,pomegranate
17.66,10.69,38.79,24.42,90.68,6.47,105.78,pomegranate
34.70,12.30,37.23,23.32,91.90,6.12,110.29,pomegranate
16.51,28.08,37.27,24.15,90.71,5.99,109.20,pomegranate
22.59,10.99,43.95,24.46,94.81,5.86,111.88,pomegranate
25.21,25.99,42.90,24.34,90.53,6.33,113.75,pomegranate
22.36,18.22,42.76,24.16,93.07,6.23,102.07,pomegranate
19.55,15.74,37.97,22.26,94.92,6.28,100.29,pomegranate
22.75,23.25,38.14,24.25,94.01,6.46,101.70,pomegranate
17.36,13.75,41.98,24.41,92.91,6.03,106.09,pomegranate
29.34,19.07,36.75,22.22,93.65,5.94,110.38,pomegranate
16.24,12.99,43.15,23.80,93.74,6.21,103.25,pomegranate
20.85,17.49,39.98,24.49,92.53,6.36,100.49,pomegranate
22.00,29.75,36.86,23.63,93.27,6.35,108.77,pomegranate
16.38,10.83,42.58,24.97,90.72,5.86,110.77,pomegranate
19.47,12.46,39.42,24.61,92.52,5.80,113.89,pomegranate
93.87,96.11,50.63,27.71,81.75,6.30,102.45,banana
92.41,99.47,52.92,25.03,81.97,6.04,119.61,banana
114.31,76.72,50.26,27.75,84.64,6.17,100.02,banana
105.92,89.63,52.04,28.23,80.95,6.34,98.66,banana
109.20,75.00,52.35,29.24,83.10,5.93,101.69,banana
106.53,93.34,53.81,28.16,84.83,6.30,103.18,banana
96.63,82.04,49.16,29.37,76.37,5.71,105.63,banana
115.03,70.70,52.11,26.51,83.46,5.53,104.74,banana
110.29,88.04,47.53,25.96,84.12,6.10,104.53,banana
96.68,96.92,54.10,25.26,84.55,6.44,112.17,banana
100.23,91.86,47.75,28.87,83.90,6.37,92.38,banana
112.65,83.64,51.48,28.34,83.20,6.32,116.07,banana
117.40,81.88,46.79,28.44,84.14,6.48,108.69,banana
90.18,98.51,49.39,27.26,82.22,6.05,94.83,banana
96.23,90.65,47.28,25.93,77.86,5.64,117.07,banana
100.26,82.62,50.44,27.82,81.03,6.15,98.77,banana
107.45,83.25,46.98,25.09,82.85,6.03,94.39,banana
100.88,96.12,48.06,29.51,80.72,5.56,113.55,banana
116.11,75.31,52.77,28.27,79.13,6.00,107.08,banana
118.52,92.73,51.05,28.37,77.74,5.55,107.41,banana
98.71,84.30,54.59,26.22,78.17,6.11,110.68,banana
119.55,86.55,46.73,28.65,84.89,6.04,101.60,banana
100.41,88.39,54.54,25.58,80.33,5.54,113.27,banana
109.42,73.14,49.72,27.21,76.44,6.41,105.64,banana
112.87,73.18,52.02,26.85,79.20,6.28,95.49,banana
118.07,91.32,45.61,29.35,83.37,6.05,112.92,banana
90.21,80.00,52.40,29.83,83.04,5.68,103.05,banana
98.16,76.50,51.44,28.05,75.82,6.33,110.72,banana
95.21,82.48,50.52,25.68,79.36,6.36,107.19,banana
119.72,71.49,45.83,25.06,83.77,6.28,97.07,banana
118.64,98.07,54.00,29.94,79.40,6.01,90.57,banana
99.76,84.22,52.89,29.18,84.75,6.44,103.43,banana
101.65,75.11,52.21,28.45,81.25,6.03,103.40,banana
93.60,89.93,51.73,29.60,81.07,5.84,107.59,banana
109.68,77.03,54.18,27.14,75.96,5.97,110.77,banana
111.23,96.94,49.60,26.37,83.52,5.98,110.32,banana
119.16,91.33,48.11,25.47,77.70,5.98,108.50,banana
109.96,93.67,48.03,29.33,82.95,6.01,119.66,banana
90.42,95.99,46.08,26.04,80.47,5.70,114.95,banana
96.02,84.44,45.34,27.58,83.32,6.03,104.83,banana
107.26,87.93,50.40,28.44,81.94,5.99,117.45,banana
108.35,87.16,50.05,25.77,80.50,5.50,112.50,banana
93.30,88.74,46.79,25.44,84.87,6.18,93.88,banana
114.51,97.23,52.98,29.20,81.08,5.75,92.02,banana
105.30,82.39,47.62,25.38,77.03,6.31,100.48,banana
118.85,72.65,45.28,27.29,83.47,6.17,111.91,banana
107.53,93.05,51.00,28.84,75.48,5.95,112.63,banana
104.38,87.48,52.60,29.98,81.87,6.10,93.63,banana
111.95,90.04,45.84,26.60,78.69,6.03,116.74,banana
110.55,86.34,51.23,27.90,75.16,6.40,102.80,banana
91.00,91.89,51.26,25.59,79.76,6.03,96.27,banana
119.62,75.04,50.29,25.76,77.98,5.80,94.41,banana
96.68,83.32,49.13,25.77,84.77,6.30,91.69,banana
118.73,79.95,47.51,28.02,78.44,5.88,97.78,banana
111.11,92.80,54.67,26.95,82.16,5.54,101.32,banana
107.82,87.41,51.84,27.46,80.41,5.77,116.91,banana
115.85,85.56,50.25,26.45,79.09,5.59,101.41,banana
118.65,98.14,48.46,27.70,75.77,5.65,109.60,banana
118.84,97.73,47.95,29.42,77.72,6.19,94.18,banana
118.12,94.45,53.12,26.65,75.01,6.36,104.48,banana
90.38,90.28,47.58,27.78,75.38,6.44,107.46,banana
95.46,85.99,51.80,29.59,83.73,6.10,119.71,banana
99.56,73.08,45.99,29.56,76.90,6.22,105.90,banana
92.10,75.31,45.17,28.39,84.66,5.92,98.62,banana
92.54,90.18,52.03,27.56,79.77,6.10,115.43,banana
108.30,90.69,51.46,27.80,80.25,5.63,95.71,banana
102.14,70.30,53.91,26.15,75.05,6.22,100.11,banana
110.72,99.19,48.45,28.41,84.25,5.76,114.86,banana
96.46,74.78,54.35,27.51,79.27,5.67,119.95,banana
116.40,75.66,45.78,26.95,75.40,6.27,115.05,banana
109.93,71.82,46.75,25.93,75.11,5.52,118.36,banana
108.11,95.65,52.17,29.34,75.87,5.60,108.32,banana
105.58,72.73,53.14,28.32,76.36,6.10,94.30,banana
115.26,91.71,47.26,25.47,77.50,5.68,98.30,banana
113.91,85.42,49.04,28.41,76.06,6.35,93.48,banana
103.39,80.72,53.73,27.61,77.71,6.36,109.38,banana
118.91,76.85,52.46,27.20,83.44,6.36,117.15,banana
100.16,98.01,52.08,27.59,82.50,5.99,117.16,banana
115.59,87.32,50.22,26.96,76.08,5.53,115.14,banana
101.21,73.40,51.60,25.56,80.11,6.40,100.45,banana
113.59,96.58,47.64,26.78,79.95,5.61,115.84,banana
90.28,85.36,46.63,25.44,76.81,6.35,110.39,banana
99.44,90.02,50.76,29.19,77.09,6.03,106.20,banana
105.26,95.43,47.32,26.49,84.63,6.22,115.39,banana
97.05,71.04,48.15,25.49,77.63,5.92,107.58,banana
106.99,80.61,52.50,28.92,75.16,5.80,116.71,banana
110.68,73.78,52.66,28.36,84.04,5.74,95.23,banana
117.84,92.03,50.16,25.64,79.56,5.59,101.63,banana
90.93,93.56,50.51,27.76,79.71,5.64,109.83,banana
113.20,76.39,54.78,28.36,83.02,6.49,104.34,banana
98.98,77.08,52.38,25.63,84.66,5.79,113.32,banana
112.54,70.21,45.92,26.74,79.21,6.01,101.72,banana
94.19,94.86,47.86,26.95,83.33,6.33,92.00,banana
119.31,87.52,48.06,28.05,81.54,6.28,119.36,banana
106.30,86.75,51.51,28.67,84.86,5.85,107.82,banana
96.87,74.40,50.72,28.01,82.01,5.63,102.80,banana
103.66,88.74,50.74,26.55,84.35,5.91,118.41,banana
105.10,99.60,45.79,25.26,80.86,6.13,99.01,banana
105.24,92.14,54.35,29.05,79.24,5.97,108.71,banana
109.54,99.76,47.55,26.18,84.18,6.39,110.74,banana
8.30,30.18,31.88,28.61,47.83,5.05,94.70,mango
8.29,24.02,27.32,27.51,46.77,4.71,90.31,mango
15.54,37.46,31.13,31.23,49.42,4.79,91.76,mango
30.41,36.50,26.37,29.79,50.81,5.90,95.15,mango
34.09,27.51,27.07,30.05,50.21,5.03,98.81,mango
19.76,36.05,32.81,28.28,51.57,5.53,94.25,mango
19.97,22.54,30.60,31.24,50.59,5.62,94.44,mango
7.23,30.06,26.20,29.15,48.79,5.33,91.57,mango
17.33,27.71,31.56,27.96,54.16,4.54,93.17,mango
18.89,29.84,33.15,31.32,45.77,4.99,91.99,mango
33.01,23.32,33.40,28.94,47.73,5.15,97.47,mango
22.59,28.90,30.12,29.46,52.88,4.66,95.71,mango
1.60,30.14,27.27,27.84,51.35,4.85,95.82,mango
23.91,20.37,32.36,31.65,46.62,5.90,95.34,mango
33.90,22.13,34.40,29.57,53.08,5.09,99.01,mango
1.85,30.42,29.00,28.68,47.31,4.95,93.73,mango
6.71,36.24,27.98,30.88,48.93,4.62,96.83,mango
8.19,33.88,28.98,27.07,45.83,4.77,98.66,mango
7.25,34.00,28.15,31.91,54.85,5.93,93.67,mango
34.91,22.25,26.86,30.07,45.02,4.63,94.70,mango
0.66,31.94,34.19,31.96,49.02,4.92,99.74,mango
18.48,25.58,27.12,30.71,54.15,5.15,91.38,mango
18.75,30.39,25.16,30.03,50.02,5.06,90.18,mango
30.93,20.16,32.91,29.39,53.74,5.89,97.76,mango
29.56,23.23,31.53,28.95,47.12,4.81,99.11,mango
9.79,26.11,27.34,28.34,51.55,5.30,92.17,mango
5.91,35.15,31.09,30.82,47.96,5.50,97.71,mango
12.73,26.51,34.55,31.30,48.02,5.73,97.50,mango
15.26,39.70,34.79,31.35,52.65,5.44,95.71,mango
28.15,38.08,28.68,30.82,54.25,4.56,97.87,mango
4.29,30.01,26.31,30.48,46.49,5.40,92.02,mango
12.39,38.89,30.03,29.46,45.39,5.88,95.77,mango
29.37,22.51,32.13,29.20,45.49,4.76,97.43,mango
22.35,33.83,26.32,28.05,46.58,4.54,98.88,mango
16.64,30.18,30.30,29.72,53.25,5.61,95.83,mango
12.18,30.50,27.46,31.25,53.94,4.59,95.26,mango
23.04,23.96,32.41,28.37,53.19,5.93,95.38,mango
12.28,21.30,27.75,30.09,48.32,5.37,93.23,mango
20.12,23.68,34.62,27.51,52.89,5.16,98.72,mango
5.76,30.47,34.14,27.58,48.66,4.81,97.39,mango
2.37,28.45,29.29,30.98,49.93,4.67,92.09,mango
20.15,31.32,28.18,27.07,49.13,5.32,98.60,mango
3.09,36.33,26.51,27.80,51.50,5.85,94.36,mango
11.45,22.19,32.74,30.01,54.99,5.61,99.46,mango
7.29,28.43,28.42,27.21,51.29,5.69,92.96,mango
15.47,26.65,28.49,31.44,45.91,5.69,93.42,mango
27.66,30.31,30.18,29.91,46.03,4.63,93.58,mango
22.86,35.21,34.54,29.75,48.87,4.95,95.67,mango
30.23,36.65,33.93,28.30,48.12,5.67,91.43,mango
23.16,22.20,29.82,31.43,50.34,5.85,90.41,mango
2.43,34.75,27.26,29.59,50.95,5.73,99.28,mango
6.54,28.04,32.96,27.15,49.91,5.79,95.01,mango
22.27,23.62,28.48,27.40,51.69,5.15,91.49,mango
20.16,20.28,28.58,27.04,47.32,5.16,97.13,mango
24.50,26.83,28.25,29.99,51.49,4.56,99.84,mango
25.65,28.33,28.37,29.10,45.61,5.55,94.02,mango
21.11,33.40,29.88,29.06,49.89,5.99,96.01,mango
26.09,36.77,26.95,31.34,53.21,5.77,91.59,mango
11.73,37.43,29.07,29.02,53.00,4.52,94.65,mango
14.03,20.07,32.09,31.07,51.98,5.01,90.75,mango
19.96,35.66,32.88,28.04,54.04,4.74,94.74,mango
0.53,35.42,27.50,30.16,54.83,5.04,93.70,mango
33.23,22.10,31.63,28.13,50.12,5.27,93.96,mango
33.93,35.82,33.97,30.50,54.30,4.77,94.08,mango
0.41,21.28,30.96,31.82,49.12,5.16,95.68,mango
16.06,29.02,27.26,29.25,52.30,4.68,97.45,mango
8.28,21.93,31.54,29.27,45.99,4.65,98.16,mango
27.52,22.26,32.54,30.18,50.02,5.01,97.53,mango
6.92,20.20,32.37,28.08,50.08,4.79,90.11,mango
18.27,29.66,32.43,29.68,52.13,5.81,90.05,mango
1.72,24.84,27.94,29.20,51.66,5.40,97.47,mango
30.20,20.17,26.39,29.95,48.26,5.82,93.10,mango
10.44,35.40,25.21,28.07,47.68,5.66,99.66,mango
24.43,36.86,32.33,30.81,52.16,5.45,92.92,mango
10.91,29.88,34.04,28.36,50.76,4.99,97.33,mango
12.30,20.10,31.41,30.65,53.85,5.74,94.98,mango
5.14,27.12,26.85,28.76,53.33,5.58,92.93,mango
2.12,36.86,32.27,28.91,50.15,4.80,92.94,mango
2.11,31.52,34.01,31.47,46.56,5.91,90.27,mango
13.95,34.02,31.32,29.82,49.80,5.42,91.84,mango
27.15,30.83,34.63,30.91,51.60,4.95,90.21,mango
31.66,26.82,30.46,27.34,48.06,4.88,95.60,mango
14.46,35.20,32.28,29.26,45.55,4.99,94.43,mango
17.91,28.08,26.95,30.28,45.23,5.07,96.14,mango
18.85,33.30,32.41,31.70,53.01,5.30,94.01,mango
4.19,22.98,30.04,31.45,50.48,4.95,98.22,mango
27.98,20.41,27.37,28.58,51.23,4.98,96.44,mango
7.09,33.18,32.48,29.87,46.31,4.78,93.26,mango
5.19,30.02,27.14,31.59,49.83,4.92,99.21,mango
6.67,25.05,26.92,30.20,45.71,5.74,94.21,mango
13.60,33.24,28.72,28.46,47.54,5.19,98.99,mango
0.18,30.62,27.07,27.14,47.88,4.56,93.87,mango
28.87,35.27,27.09,31.19,46.09,4.55,91.02,mango
2.19,39.15,27.53,31.69,49.73,5.27,98.54,mango
24.41,28.43,28.23,30.39,52.36,5.43,98.62,mango
8.66,39.37,34.10,27.05,45.64,5.36,94.99,mango
14.88,25.14,26.63,27.40,46.73,5.75,90.14,mango
27.62,28.85,34.58,29.78,50.87,5.47,96.90,mango
31.05,28.65,34.69,31.99,51.99,5.00,93.19,mango
12.42,29.81,34.85,28.45,51.17,5.15,96.03,mango
21.03,144.37,197.62,23.74,84.44,5.69,67.09,grapes
28.15,138.82,208.69,23.94,80.94,5.90,73.73,grapes
17.45,136.91,202.78,22.52,82.33,5.82,72.10,grapes
15.89,133.06,190.50,22.21,81.97,6.46,67.34,grapes
30.42,140.31,196.42,23.51,84.39,6.45,67.45,grapes
14.56,124.79,200.67,22.01,82.07,5.63,68.45,grapes
11.65,141.04,208.34,24.08,83.38,6.14,73.61,grapes
20.29,133.32,202.89,23.46,83.77,5.58,71.49,grapes
16.38,123.14,200.85,23.80,82.76,6.02,66.92,grapes
12.50,143.19,204.14,23.37,81.62,5.99,70.55,grapes
34.32,129.01,202.95,24.66,84.18,6.32,74.31,grapes
16.59,143.85,191.65,23.70,82.71,5.76,68.53,grapes
17.40,149.14,208.85,23.20,83.17,5.80,71.53,grapes
13.43,139.10,207.32,22.43,82.79,5.90,68.00,grapes
13.98,132.94,208.28,22.71,84.19,5.83,67.26,grapes
22.84,136.43,205.10,24.33,81.73,6.30,73.64,grapes
11.82,131.23,199.08,24.54,80.22,6.22,72.46,grapes
18.88,135.60,200.85,23.50,84.85,6.45,72.28,grapes
19.73,141.34,205.71,24.18,80.06,5.80,70.83,grapes
21.82,124.51,199.84,24.06,82.73,6.24,66.38,grapes
26.29,136.99,203.84,24.62,84.91,6.14,65.08,grapes
33.71,122.52,203.16,24.06,82.96,6.12,70.30,grapes
21.85,141.37,190.40,22.54,83.82,6.46,74.77,grapes
11.54,121.08,203.61,22.09,84.63,6.05,72.71,grapes
12.37,136.20,204.81,22.85,80.19,6.38,74.60,grapes
16.60,141.83,200.07,22.32,84.57,6.24,66.59,grapes
31.72,138.63,192.19,23.70,80.47,5.72,66.18,grapes
29.24,130.05,200.53,23.92,82.30,5.61,74.10,grapes
27.52,149.49,200.49,22.42,83.42,5.63,68.60,grapes
24.78,121.82,204.76,23.88,80.06,6.30,71.53,grapes
17.68,140.78,203.83,24.54,82.24,5.84,65.24,grapes
18.37,123.92,196.77,23.85,80.49,6.44,66.96,grapes
17.35,120.40,207.92,24.21,81.71,5.88,72.82,grapes
25.93,135.21,209.73,24.45,83.10,5.73,65.72,grapes
19.41,125.13,204.88,23.37,83.11,6.13,65.41,grapes
30.31,129.57,194.41,22.73,82.96,5.64,74.70,grapes
20.66,146.90,197.17,22.31,84.61,5.95,69.02,grapes
23.57,121.42,190.81,22.09,80.37,6.04,67.60,grapes
31.29,128.91,202.96,23.69,83.95,6.13,73.62,grapes
18.01,125.39,192.88,22.30,81.66,6.25,73.16,grapes
31.11,124.73,192.37,23.45,82.51,5.70,73.39,grapes
27.19,131.45,204.28,23.54,83.18,5.68,71.00,grapes
34.06,136.88,206.26,22.84,84.97,6.28,73.45,grapes
28.99,130.38,196.31,23.54,84.40,6.11,69.21,grapes
34.70,137.75,201.41,24.97,82.15,5.96,73.67,grapes
30.00,136.27,197.29,23.35,80.45,5.77,66.44,grapes
23.99,149.83,198.46,23.50,84.39,5.54,70.65,grapes
30.91,143.33,194.55,22.44,81.27,6.16,69.69,grapes
11.93,133.77,190.10,23.28,81.74,6.12,66.31,grapes
33.19,136.03,209.19,23.01,83.73,5.94,68.55,grapes
23.09,128.70,204.68,22.85,83.46,6.30,66.87,grapes
10.84,120.11,198.33,24.76,81.50,5.51,71.89,grapes
31.55,148.86,190.69,22.11,83.05,6.26,73.93,grapes
33.33,130.28,193.36,23.90,81.14,6.11,68.35,grapes
11.55,142.92,191.79,24.25,81.28,6.15,68.57,grapes
26.37,148.70,203.92,23.23,81.76,6.19,74.44,grapes
21.44,130.63,207.35,24.40,80.21,6.29,73.78,grapes
25.09,132.78,192.14,23.92,82.62,5.67,67.94,grapes
13.83,120.02,201.67,24.46,81.05,6.33,72.40,grapes
16.81,125.79,207.80,22.63,80.28,5.84,71.94,grapes
10.97,143.70,193.08,23.18,81.53,6.38,73.60,grapes
14.97,142.88,190.79,22.18,80.23,5.66,67.96,grapes
22.45,120.88,208.31,24.94,83.42,6.04,67.32,grapes
17.77,143.82,194.73,22.44,80.96,6.23,65.99,grapes
24.07,121.96,208.92,23.00,81.26,6.10,68.39,grapes
25.89,127.67,192.24,24.47,81.71,6.28,65.82,grapes
16.90,149.47,191.06,24.98,84.24,5.98,69.47,grapes
25.65,124.76,192.52,23.42,84.50,5.99,69.81,grapes
15.42,125.68,198.13,23.56,83.06,6.32,70.93,grapes
23.76,132.75,191.51,24.88,81.72,5.94,71.21,grapes
18.52,124.51,206.57,24.95,80.47,5.68,67.70,grapes
10.80,122.02,195.26,24.46,83.22,5.53,72.83,grapes
31.58,139.30,191.53,22.18,80.88,6.45,71.07,grapes
18.74,124.26,190.51,24.10,83.96,6.13,72.57,grapes
31.50,139.31,203.28,23.14,81.72,6.49,73.60,grapes
17.63,141.34,194.63,24.73,84.62,6.36,74.76,grapes
14.97,140.39,202.26,23.89,82.68,5.65,69.28,grapes
